"Sex";"MaritalStatus";"Age";"Education";"Occupation";"YearsInSf";"DualIncome";"HouseholdMembers";"Under18";"HouseholdStatus";"TypeOfHome";"EthnicClass";"Language";"AnualIncome"
"260";"2";"4";4;"3";"4";"?";1;"5";3;"Rent";"3";"7";"1";11703
"261";"2";"3";6;"4";"5";"5";1;"4";0;"Own";"1";"7";"1";32171
"262";"2";"1";3;"4";"2";"5";2;"3";1;"Rent";"3";"7";"1";32171
"263";"2";"3";4;"6";"1";"5";1;"1";0;"Own";"2";"7";"1";66994
"264";"Male";"1";3;"3";"3";"5";2;"4";2;"Rent";"5";"7";"1";32171
"265";"2";"5";7;"6";"8";"5";1;"2";0;"Own";"1";"7";"1";9136
"266";"2";"1";5;"4";"5";"5";2;"5";1;"Own";"1";"7";"1";66994
"267";"2";"1";5;"4";"5";"4";2;"4";2;"Rent";"2";"3";"1";46894
"268";"2";"1";3;"4";"5";"4";3;"5";0;"Rent";"1";"7";"1";27591
"269";"2";"1";4;"5";"2";"5";2;"4";1;"Own";"1";"7";"1";76004
"270";"2";"5";3;"5";"1";"5";1;"1";0;"Rent";"2";"7";"1";32171
"271";"2";"1";6;"4";"8";"5";3;"3";0;"Own";"1";"7";"1";21672
"272";"2";"1";3;"5";"1";"5";2;"4";2;"Own";"1";"7";"1";66994
"273";"2";"3";5;"4";"2";"?";1;"1";0;"Rent";"?";"7";"1";21672
"274";"Male";"5";2;"4";"6";"5";1;"3";0;"Live with Parents/Family";"1";"7";"1";19997
"275";"Male";"1";4;"4";"1";"5";3;"4";2;"Own";"1";"7";"1";46894
"276";"2";"5";2;"4";"6";"5";1;"?";0;"Live with Parents/Family";"1";"7";"1";66994
"277";"Male";"1";7;"4";"8";"5";3;"?";0;"Own";"1";"7";"1";32171
"278";"2";"1";7;"6";"8";"?";3;"2";0;"Own";"2";"7";"1";66994
"279";"2";"1";3;"5";"1";"5";2;"4";2;"Own";"1";"8";"3";76004
"280";"Male";"5";2;"4";"2";"5";1;"3";0;"Live with Parents/Family";"1";"7";"1";76004
"281";"Male";"5";2;"2";"4";"2";1;"4";0;"Live with Parents/Family";"1";"7";"1";76004
"282";"Male";"5";2;"2";"6";"2";1;"4";0;"Live with Parents/Family";"1";"7";"1";9136
"283";"Male";"5";3;"5";"1";"5";1;"2";0;"Own";"1";"7";"1";66994
"284";"Male";"1";3;"5";"1";"5";2;"2";0;"Own";"1";"7";"1";66994
"285";"2";"5";2;"4";"6";"3";1;"5";2;"Own";"1";"7";"1";9136
"286";"Male";"5";2;"3";"6";"4";1;"3";0;"Rent";"1";"7";"1";27591
"287";"Male";"5";2;"3";"7";"3";1;"?";0;"Live with Parents/Family";"1";"7";"1";9136
"288";"2";"1";5;"4";"1";"5";2;"2";0;"Own";"1";"7";"1";76004
"289";"2";"1";6;"5";"7";"5";3;"2";0;"Own";"1";"7";"1";21672
"290";"Male";"5";5;"5";"1";"5";1;"1";0;"Rent";"3";"7";"1";19997
"291";"Male";"1";5;"6";"1";"5";3;"2";0;"Own";"1";"7";"1";76004
"292";"2";"4";7;"4";"1";"5";1;"?";0;"Own";"1";"7";"1";9136
"293";"Male";"1";7;"5";"8";"5";3;"2";0;"Own";"1";"7";"1";46894
"294";"Male";"5";1;"2";"2";"4";1;"4";2;"Live with Parents/Family";"1";"7";"3";9136
"295";"Male";"5";1;"3";"6";"5";1;"4";2;"Live with Parents/Family";"1";"";"1";9136
"296";"2";"2";3;"2";"4";"5";1;"2";0;"Own";"2";"7";"1";46894
"297";"2";"1";6;"3";"5";"?";3;"2";0;"Own";"1";"7";"1";27591
"298";"Male";"5";3;"4";"1";"3";1;"1";0;"Own";"1";"7";"1";66994
"299";"2";"3";5;"4";"?";"5";1;"1";0;"Own";"?";"7";"1";32171
"300";"2";"2";3;"5";"1";"5";1;"2";0;"Own";"1";"7";"1";32171
"301";"2";"1";4;"4";"1";"5";2;"2";0;"Own";"1";"7";"1";66994
"302";"Male";"1";5;"4";"1";"5";3;"3";0;"Own";"1";"1";"1";66994
"303";"Male";"1";6;"6";"8";"5";3;"2";0;"Own";"5";"7";"1";66994
"304";"2";"5";7;"6";"8";"5";1;"2";0;"Own";"1";"7";"?";27591
"305";"Male";"5";3;"6";"1";"5";1;"1";0;"Rent";"3";"7";"1";11703
"306";"2";"5";3;"4";"8";"5";1;"1";0;"Rent";"5";"5";"1";9136
"307";"2";"3";3;"5";"1";"5";1;"2";0;"Rent";"3";"7";"1";19997
